                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0657,                 1.9678,                 1.1238,                0.53995,                0.97169,                0.73943,                0.50414,                  1.191,                 1.7726,                 1.1578,             0.00055146,             0.00055146,             0.00055146
                      2,                0.98269,                 1.3455,                 1.0812,                0.57853,                0.91896,                0.73754,                0.48466,                 1.2383,                 1.5087,                 1.1774,              0.0010523,              0.0010523,              0.0010523
                      3,                0.90631,                 1.1688,                 1.0348,                0.83273,                0.79335,                0.85955,                0.63936,                 0.9866,                 1.1589,                  1.084,              0.0014982,              0.0014982,              0.0014982
                      4,                0.86982,                 1.0769,                 1.0305,                0.85917,                0.84147,                0.91452,                 0.7289,                0.80465,                0.94192,                0.97828,              0.0014195,              0.0014195,              0.0014195
                      5,                0.88204,                0.98947,                 1.0265,                0.77579,                0.88324,                0.92363,                0.75591,                0.75542,                 0.8615,                0.97859,              0.0014195,              0.0014195,              0.0014195
                      6,                0.82306,                0.90612,                 1.0013,                0.73708,                0.86369,                0.89877,                0.67585,                0.94073,                0.91576,                 1.0136,              0.0013369,              0.0013369,              0.0013369
                      7,                 0.7737,                0.83595,                0.98423,                0.85863,                 0.9071,                0.93383,                0.66372,                 1.1229,                0.71654,                 1.1239,              0.0012544,              0.0012544,              0.0012544
                      8,                0.75387,                0.79516,                0.98023,                0.81896,                0.86364,                0.91894,                0.80168,                0.58328,                0.89182,                 0.9038,              0.0011719,              0.0011719,              0.0011719
                      9,                0.71947,                0.78186,                0.96478,                0.86781,                0.92712,                0.93524,                0.74345,                0.79517,                0.62663,                0.96685,              0.0010894,              0.0010894,              0.0010894
                     10,                0.72939,                0.76874,                 0.9675,                0.85478,                0.89773,                0.93634,                0.73898,                0.84777,                0.69257,                0.98037,              0.0010069,              0.0010069,              0.0010069
                     11,                0.59421,                0.64915,                0.91153,                0.87412,                0.90062,                0.94652,                0.79999,                0.65204,                0.60054,                0.91211,             0.00092435,             0.00092435,             0.00092435
                     12,                0.58591,                 0.5847,                0.90605,                0.89594,                0.95717,                 0.9793,                0.76505,                0.88795,                 0.5249,                0.99175,             0.00084184,             0.00084184,             0.00084184
                     13,                0.58573,                0.55732,                0.91258,                0.89315,                0.92874,                0.95857,                 0.8424,                0.58537,                0.52322,                0.88854,             0.00075932,             0.00075932,             0.00075932
                     14,                0.55805,                0.52281,                0.89343,                0.93459,                0.90928,                0.96018,                0.76756,                0.87452,                0.50157,                 1.0077,              0.0006768,              0.0006768,              0.0006768
                     15,                0.52777,                0.50103,                 0.8856,                0.95126,                0.94718,                0.97811,                0.82272,                0.72067,                0.46053,                0.93171,             0.00059429,             0.00059429,             0.00059429
                     16,                0.53052,                0.46674,                0.88569,                0.93733,                 0.9376,                0.97693,                 0.8451,                0.63106,                0.41534,                0.89998,             0.00051177,             0.00051177,             0.00051177
                     17,                0.50564,                0.45159,                 0.8663,                0.93814,                0.92249,                0.96937,                0.81734,                0.67567,                0.43683,                0.91866,             0.00042925,             0.00042925,             0.00042925
                     18,                0.49467,                0.42189,                0.87184,                0.88476,                0.93924,                0.97059,                0.87368,                0.52705,                 0.4356,                0.87178,             0.00034674,             0.00034674,             0.00034674
                     19,                0.47217,                0.40317,                0.85801,                0.92443,                0.92937,                0.97116,                0.86286,                 0.5696,                0.41333,                0.88199,             0.00026422,             0.00026422,             0.00026422
                     20,                0.45965,                0.37381,                0.85039,                0.94662,                0.90677,                0.97127,                0.86579,                0.55313,                0.40799,                0.87823,              0.0001817,              0.0001817,              0.0001817
